cid_ibge,volumes_mes,volume_dia,volume_lw
1100015,12070.852459016394,402.3617486338798,160.94469945355195
1100023,15162.40625,505.4135416666667,202.1654166666667
1100031,884.6923076923077,29.48974358974359,11.795897435897437
1100049,27272.5625,909.0854166666667,363.6341666666667
1100056,1283.9019607843138,42.79673202614379,17.118692810457517
1100064,1505.9649122807018,50.198830409356724,20.07953216374269
1100072,1585.8181818181818,52.86060606060606,21.144242424242425
1100080,905.6896551724138,30.189655172413794,12.075862068965519
1100098,14736.483870967742,491.2161290322581,196.48645161290324
1100106,593.9285714285714,19.797619047619047,7.919047619047619
1100114,3565.108695652174,118.83695652173914,47.53478260869566
1100122,27165.645833333332,905.5215277777777,362.2086111111111
1100130,1789.25,59.641666666666666,23.85666666666667
1100148,7887.214285714285,262.90714285714284,105.16285714285715
1100155,3700.4772727272725,123.34924242424242,49.33969696969697
1100189,10962.777777777777,365.4259259259259,146.17037037037036
1100205,95779.07291666667,3192.635763888889,1277.0543055555556
1100254,2670.8024691358023,89.02674897119341,35.61069958847737
1100288,16263.037037037036,542.1012345679012,216.8404938271605
1100296,246.66666666666666,8.222222222222221,3.2888888888888888
1100304,65241.21875,2174.7072916666666,869.8829166666667
1100320,2730.25,91.00833333333334,36.403333333333336
1100338,248.75,8.291666666666666,3.3166666666666664
1100346,1853.625,61.7875,24.715000000000003
1100379,1676.060606060606,55.868686868686865,22.34747474747475
1100403,1792.4193548387098,59.74731182795699,23.8989247311828
1100452,6815.810344827586,227.19367816091955,90.87747126436783
1100502,2293.451612903226,76.4483870967742,30.57935483870968
1100601,83.33333333333333,2.7777777777777777,1.1111111111111112
1100700,475.0,15.833333333333334,6.333333333333334
1100809,3390.8591549295775,113.02863849765258,45.21145539906104
1100924,1906.0714285714287,63.53571428571429,25.414285714285718
1100940,1045.8333333333333,34.86111111111111,13.944444444444443
1101005,235.0,7.833333333333333,3.1333333333333333
1101104,1988.0,66.26666666666667,26.506666666666668
1101203,1469.4117647058824,48.98039215686275,19.5921568627451
1101401,1317.5111111111112,43.91703703703704,17.566814814814816
1101435,75.0,2.5,1.0
1101450,2481.842105263158,82.7280701754386,33.09122807017544
1101468,200.0,6.666666666666667,2.666666666666667
1101476,2950.3333333333335,98.34444444444445,39.33777777777778
1101484,1115.4,37.18,14.872
1101492,1270.258064516129,42.34193548387097,16.936774193548388
1101500,3376.0,112.53333333333333,45.013333333333335
1101559,481.0,16.033333333333335,6.413333333333334
1101708,428.3333333333333,14.277777777777777,5.711111111111111
1101757,602.0,20.066666666666666,8.026666666666667
1101807,951.5,31.716666666666665,12.686666666666667
1200013,450.0,15.0,6.0
1200054,2094.5,69.81666666666666,27.926666666666666
1200104,1877.0,62.56666666666667,25.02666666666667
1200203,7581.0,252.7,101.08
1200252,1100.0,36.666666666666664,14.666666666666666
1200302,1292.857142857143,43.095238095238095,17.238095238095237
1200328,1452.5,48.416666666666664,19.366666666666667
1200344,2102.0,70.06666666666666,28.026666666666667
1200351,2833.3333333333335,94.44444444444444,37.77777777777778
1200393,710.0,23.666666666666668,9.466666666666667
1200401,27455.459770114943,915.1819923371647,366.0727969348659
1200435,377.5,12.583333333333334,5.033333333333334
1200450,10000.0,333.3333333333333,133.33333333333334
1200609,1505.9545454545455,50.19848484848485,20.079393939393942
1200807,210.0,7.0,2.8000000000000003
1300029,5092.56,169.752,67.9008
1300060,3305.1724137931033,110.17241379310344,44.06896551724138
1300086,6372.0,212.4,84.96000000000001
1300102,14503.75,483.4583333333333,193.38333333333333
1300144,15937.5,531.25,212.5
1300201,11026.666666666666,367.55555555555554,147.0222222222222
1300300,10518.0,350.6,140.24
1300409,16483.090909090908,549.4363636363636,219.77454545454543
1300508,10734.173913043478,357.8057971014493,143.1223188405797
1300607,8205.25,273.5083333333333,109.40333333333334
1300631,6940.0952380952385,231.33650793650796,92.53460317460319
1300680,7559.047619047619,251.96825396825398,100.7873015873016
1300706,8444.333333333334,281.4777777777778,112.59111111111113
1300805,7917.272727272727,263.9090909090909,105.56363636363636
1300839,8131.0,271.03333333333336,108.41333333333336
1300904,8018.181818181818,267.27272727272725,106.9090909090909
1301001,9065.56,302.1853333333333,120.87413333333332
1301100,12315.5,410.51666666666665,164.20666666666668
1301159,5516.818181818182,183.8939393939394,73.55757575757576
1301209,16364.0,545.4666666666667,218.1866666666667
1301308,6141.523809523809,204.7174603174603,81.88698412698413
1301407,11204.652173913044,373.48840579710145,149.3953623188406
1301506,13570.0,452.3333333333333,180.93333333333334
1301605,6042.857142857143,201.42857142857144,80.57142857142858
1301654,35709.0,1190.3,476.12
1301704,13497.454545454546,449.91515151515154,179.96606060606064
1301803,10870.6875,362.35625,144.9425
1301852,17309.14285714286,576.9714285714286,230.78857142857146
1301902,27096.84931506849,903.2283105022831,361.29132420091327
1301951,7011.173913043478,233.70579710144926,93.48231884057971
1302009,8187.96875,272.9322916666667,109.17291666666668
1302108,16086.666666666666,536.2222222222222,214.48888888888888
1302207,10270.045454545454,342.33484848484846,136.9339393939394
1302306,6623.333333333333,220.77777777777777,88.31111111111112
1302405,9959.645161290322,331.9881720430107,132.7952688172043
1302504,19807.619047619046,660.2539682539682,264.1015873015873
1302553,6209.538461538462,206.9846153846154,82.79384615384618
1302603,1034635.5104166666,34487.85034722222,13795.14013888889
1302702,10518.75,350.625,140.25
1302801,11932.153846153846,397.73846153846154,159.09538461538463
1302900,11430.894736842105,381.0298245614035,152.41192982456138
1303007,8260.714285714286,275.3571428571429,110.14285714285717
1303106,4705.227272727273,156.8409090909091,62.73636363636364
